game,emulator,session_start,session_end,avg_cpu,min_cpu,max_cpu,avg_ram,min_ram,max_ram,avg_cpu_temp,min_cpu_temp,max_cpu_temp,avg_core1,min_core1,max_core1,avg_core2,min_core2,max_core2,avg_core3,min_core3,max_core3,avg_core4,min_core4,max_core4,core_imbalance,core_killer,avg_cpu_freq
fightfev,fbneo,2025-03-27 17:45:03,2025-03-27 17:46:42,10.6,6.0,27.1,50.2,43.4,50.9,21.3,20.9,21.7,7.4,3.5,51.1,8.6,1.6,48.0,10.0,6.6,19.3,11.3,4.5,19.8,9.3,Non,1458
ctomaday,fbneo,2025-03-27 17:46:42,2025-03-27 17:48:20,9.1,6.1,12.3,50.4,43.0,51.2,21.3,21.0,21.7,8.2,1.6,41.4,7.5,3.0,48.1,10.9,5.3,28.6,8.8,3.7,15.6,8.8,Non,1457
panicbom,fbneo,2025-03-27 17:48:20,2025-03-27 17:49:59,9.5,5.9,11.7,49.6,43.8,50.2,21.1,20.6,21.4,8.9,3.1,63.9,8.0,3.1,39.7,12.1,3.4,25.2,10.4,3.2,17.2,10.8,Non,1458
kizuna,fbneo,2025-03-27 17:49:59,2025-03-27 17:51:38,10.9,6.0,27.1,52.8,43.6,53.8,21.2,20.8,21.9,6.8,3.3,33.8,9.7,4.8,42.7,11.9,4.6,42.5,10.0,2.5,46.6,9.5,Non,1457
alpham2,fbneo,2025-03-27 17:51:38,2025-03-27 17:52:56,9.5,6.5,12.5,49.4,43.7,50.2,21.1,20.6,21.5,5.7,3.8,10.3,8.9,3.4,35.3,11.4,6.9,53.3,12.2,4.6,20.6,11.2,Non,1445
Bomber Raid,genesisplusgx,2025-03-27 17:56:19,2025-03-27 17:57:00,4.6,0.0,5.6,45.7,45.7,45.8,21.7,21.4,22.0,4.3,0.0,5.9,3.2,0.0,5.3,5.8,0.0,9.1,5.0,0.0,8.5,2.7,Non,2000
T2 - Terminator 2 - Judgment Day,genesisplusgx,2025-03-27 17:57:00,2025-03-27 17:58:40,6.8,5.1,12.1,45.3,41.1,45.9,21.8,21.5,22.3,6.9,4.5,29.1,6.3,2.4,10.2,8.1,1.5,52.8,5.0,3.0,7.7,5.7,Non,1917
Zombies Ate My Neighbors,genesisplusgx,2025-03-27 17:58:40,2025-03-27 18:00:18,6.6,4.7,9.2,45.5,42.1,45.8,21.7,21.4,22.2,6.3,4.0,10.2,4.2,2.6,31.0,9.0,3.6,13.6,6.4,1.9,46.6,6.9,Non,1972
SilverValley,genesisplusgx,2025-03-27 18:00:18,2025-03-27 18:01:56,6.4,4.5,26.3,45.4,41.9,45.7,21.6,21.4,22.0,6.0,4.7,8.4,5.9,1.7,45.9,5.1,2.5,46.7,4.0,2.2,6.3,4.1,Non,1943
minasan,fbneo,2025-03-27 18:01:56,2025-03-27 18:03:34,9.0,4.1,27.1,48.8,41.5,49.7,21.6,21.3,21.9,9.1,3.3,15.3,6.6,1.6,30.1,7.6,2.7,31.8,8.6,2.2,54.5,8.8,Non,1941
